Sample	location	organism	household_type	household_number	original_group	Time	Status	Group	Group_country	RawReads
PT010D1T0	Portugal	dog	healthy	P10	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	42.6
PT010H1T0	Portugal	human	healthy	P10	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	45.1
PT010H2T0	Portugal	human	healthy	P10	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	36.7
PT012D1T0	Portugal	dog	healthy	P12	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	52.1
PT012H1T0	Portugal	human	healthy	P12	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	34.1
PT014D1T0	Portugal	dog	healthy	P14	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	95.3
PT014H1T0	Portugal	human	healthy	P14	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	9.6
PT015D1T0	Portugal	dog	healthy	P15	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	37.7
PT015H1T0	Portugal	human	healthy	P15	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	17.4
PT015H2T0	Portugal	human	healthy	P15	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	38.4
PT015H3T0	Portugal	human	healthy	P15	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	32.6
PT015H4T0	Portugal	human	healthy	P15	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	34.2
PT017D1T0	Portugal	dog	healthy	P17	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	27.8
PT017H1T0	Portugal	human	healthy	P17	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	36.3
PT019D1T0	Portugal	dog	healthy	P19	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	24.4
PT019H1T0	Portugal	human	healthy	P19	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	29.8
PT019H2T0	Portugal	human	healthy	P19	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	40.6
PT021D1T0	Portugal	dog	healthy	P21	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	29.4
PT021D2T0	Portugal	dog	healthy	P21	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	26
PT021H2T0	Portugal	human	healthy	P21	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	27.6
PT023D1T0	Portugal	dog	healthy	P23	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	26.1
PT023H1T0	Portugal	human	healthy	P23	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	48
PT023H2T0	Portugal	human	healthy	P23	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	32.1
PT024D1T0	Portugal	dog	healthy	P24	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	21.7
PT024H1T0	Portugal	human	healthy	P24	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	22.2
PT024H2T0	Portugal	human	healthy	P24	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	31.2
PT026D1T0	Portugal	dog	healthy	P26	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	38.6
PT026H1T0	Portugal	human	healthy	P26	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	31.2
PT046D1T0	Portugal	dog	healthy	P46	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	84.6
PT046H1T0	Portugal	human	healthy	P46	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	31.6
PT050D1T0	Portugal	dog	healthy	P50	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	36.6
PT050H1T0	Portugal	human	healthy	P50	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	25.8
PT051D1T0	Portugal	dog	healthy	P51	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	32.5
PT051D2T0	Portugal	dog	healthy	P51	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	29.3
PT051D3T0	Portugal	dog	healthy	P51	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	28.3
PT051D5T0	Portugal	dog	healthy	P51	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	38.3
PT051H1T0	Portugal	human	healthy	P51	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	37.1
PT051H2T0	Portugal	human	healthy	P51	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	27.3
PT052D1T0	Portugal	dog	healthy	P52	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	30.7
PT052H1T0	Portugal	human	healthy	P52	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	30.5
PT053D1T0	Portugal	dog	healthy	P53	Portugal_dog_healthy	healthy	healthy	dog_healthy	Portugal_dog_healthy	36.3
PT053H1T0	Portugal	human	healthy	P53	Portugal_human_healthy	healthy	healthy	human_healthy	Portugal_human_healthy	20.5
